,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,New Milford,75,US,1661232703,92,40.9327,-74.0179,75.18,4.61
1,Dikson,100,RU,1661232704,94,73.5069,80.5464,42.13,6.71
2,Maple Creek,2,CA,1661232632,64,49.9168,-109.4848,72.01,10.36
3,Cidreira,3,BR,1661232704,92,-30.1811,-50.2056,59.31,13.91
4,Fortuna,99,US,1661232584,92,40.5982,-124.1573,63.66,1.01
5,Mataura,100,NZ,1661232705,75,-46.1927,168.8643,57.47,3.85
6,George Town,40,MY,1661232631,79,5.4112,100.3354,87.89,10.36
7,Nikolskoye,95,RU,1661232705,67,59.7035,30.7861,70.88,4.63
8,Hilo,75,US,1661232706,94,19.7297,-155.09,80.28,12.66
9,Kachīry,91,KZ,1661232706,35,53.0675,76.1036,65.43,7.54
10,Matara,38,LK,1661232707,68,5.9485,80.5353,84.78,15.19
11,Hermanus,76,ZA,1661232707,71,-34.4187,19.2345,54.81,9.48
12,Tilichiki,99,RU,1661232708,85,60.4667,166.1,54.86,5.66
13,Rikitea,2,PF,1661232708,70,-23.1203,-134.9692,70.43,13.87
14,Busselton,0,AU,1661232629,49,-33.65,115.3333,59.86,6.42
15,Kendari,83,ID,1661232709,61,-3.945,122.4989,83.28,7.74
16,Dingle,100,PH,1661232709,83,10.9995,122.6711,80.58,12.57
17,Miguel Pereira,16,BR,1661232709,96,-22.4539,-43.4689,57.13,2.66
18,Imeni Babushkina,79,RU,1661232710,57,59.7573,43.1285,73.89,7.9
19,Kaitangata,100,NZ,1661232710,77,-46.2817,169.8464,47.25,4.12
20,Puerto Escondido,43,MX,1661232711,85,15.85,-97.0667,77.86,4.45
21,Tasiilaq,77,GL,1661232711,75,65.6145,-37.6368,41.16,5.68
22,Ahipara,11,NZ,1661232712,84,-35.1667,173.1667,56.25,8.84
23,Mar del Plata,100,AR,1661232712,94,-38.0023,-57.5575,46.09,11.99
24,Ushuaia,0,AR,1661232712,80,-54.8,-68.3,33.46,4.61
25,Talnakh,100,RU,1661232713,93,69.4865,88.3972,50.74,4.05
26,Severo-Kuril'sk,100,RU,1661232713,82,50.6789,156.125,57.16,14.52
27,Pacific Grove,75,US,1661232714,88,36.6177,-121.9166,67.01,5.75
28,Qaanaaq,41,GL,1661232714,61,77.484,-69.3632,29.53,7.4
29,Kem',50,RU,1661232714,53,64.9555,34.5793,61.99,9.17
30,Leh,11,IN,1661232715,33,34.1667,77.5833,68.16,6.8
31,Kahului,75,US,1661232715,87,20.8947,-156.47,76.96,10.36
32,Barrow,100,US,1661232716,93,71.2906,-156.7887,33.82,25.32
33,Mahébourg,40,MU,1661232716,73,-20.4081,57.7,75.25,12.66
34,Juneau,100,US,1661232474,98,58.3019,-134.4197,64.4,5.75
35,Cabo San Lucas,75,MX,1661232717,76,22.8909,-109.9124,83.61,3.0
36,Udachny,100,RU,1661232717,73,66.4167,112.4,46.31,4.56
37,Geraldton,86,AU,1661232657,42,-28.7667,114.6,64.81,16.11
38,Ilulissat,100,GL,1661232718,81,69.2167,-51.1,48.22,13.8
39,Saint-Philippe,29,RE,1661232718,70,-21.3585,55.7679,76.59,10.74
40,Cape Town,0,ZA,1661232666,78,-33.9258,18.4232,59.11,3.0
41,Lebu,100,CL,1661232719,90,-37.6167,-73.65,50.59,1.81
42,Lékoni,89,GA,1661232719,88,-1.5843,14.2591,69.85,5.75
43,Pevek,100,RU,1661232720,78,69.7008,170.3133,47.35,15.3
44,Sisimiut,100,GL,1661232720,80,66.9395,-53.6735,46.22,23.53
45,Bethel,70,US,1661232721,85,41.3712,-73.414,72.01,2.64
46,Sola,62,VU,1661232721,72,-13.8833,167.55,79.99,19.57
47,Voi,70,KE,1661232722,63,-3.3945,38.563,72.5,12.57
48,Saint-Pierre,0,RE,1661232722,58,-21.3393,55.4781,76.68,4.61
49,Butaritari,74,KI,1661232723,76,3.0707,172.7902,82.38,16.42
50,Puerto Ayora,96,EC,1661232724,96,-0.7393,-90.3518,67.55,7.0
51,Kapaa,40,US,1661232725,76,22.0752,-159.319,82.38,13.8
52,Jamestown,100,US,1661232725,72,42.097,-79.2353,65.84,3.44
53,Mossendjo,88,CG,1661232726,95,-2.9506,12.7261,66.2,2.98
54,Palmer,100,US,1661232726,86,42.1584,-72.3287,70.41,0.0
55,Codrington,69,AU,1661232727,67,-38.2667,141.9667,50.25,17.05
56,Avarua,20,CK,1661232727,83,-21.2078,-159.775,71.65,9.22
57,Hasaki,99,JP,1661232727,81,35.7333,140.8333,91.29,14.2
58,Grindavik,0,IS,1661232728,100,63.8424,-22.4338,46.35,8.05
59,Port Alfred,96,ZA,1661232728,88,-33.5906,26.891,59.18,4.0
60,Boda,56,CF,1661232729,95,4.3189,17.4695,69.51,2.82
61,Lokomotivnyy,22,RU,1661232729,52,53.0118,60.5684,73.81,11.21
62,Thompson,0,CA,1661232699,76,55.7435,-97.8558,51.96,0.0
63,Kokopo,28,PG,1661232730,59,-4.352,152.2633,84.11,3.87
64,Cherskiy,29,RU,1661232730,51,68.75,161.3,64.27,17.58
65,Hailar,1,CN,1661232620,29,49.2,119.7,73.13,11.05
